expr,min,lq,mean,median,uq,max,neval
"read_rds(path = here(""proc"", ""df1_write_rds.rds""))",69.591545,70.333389,80.5439918,70.676435,72.674345,119.444245,5
"readRDS(file = here(""proc"", ""df1_saveRDS.rds""))",92.715338,92.934625,103.7772892,96.702144,117.97998,118.554359,5
"qread(file = here(""proc"", ""df1_qsave.qs""))",61.659102,63.226817,67.155922,63.285321,65.832716,81.775654,5
"read.fst(path = here(""proc"", ""df1_writefst.fst""))",37.963774,38.097937,45.1002874,42.583325,47.352448,59.503953,5
"read_rds(path = here(""proc"", ""df2_write_rds.rds""))",354.955268,362.056262,398.183998,368.347474,370.193356,535.36763,5
"readRDS(file = here(""proc"", ""df2_saveRDS.rds""))",455.531331,470.656453,472.7396694,476.127084,477.87091,483.512569,5
"qread(file = here(""proc"", ""df2_qsave.qs""))",300.933234,315.77242,321.3550338,316.315543,321.504627,352.249345,5
"read.fst(path = here(""proc"", ""df2_writefst.fst""))",147.567892,169.231035,187.4694296,177.481938,202.445504,240.620779,5
"read_rds(path = here(""proc"", ""df3_write_rds.rds""))",718.41526,746.066954,799.4718346,765.351145,804.203896,963.321918,5
"readRDS(file = here(""proc"", ""df3_saveRDS.rds""))",966.97494,971.98395,984.1257312,972.462866,976.17727,1033.02963,5
"qread(file = here(""proc"", ""df3_qsave.qs""))",638.997109,643.443891,654.653691,643.936945,648.929827,697.960683,5
"read.fst(path = here(""proc"", ""df3_writefst.fst""))",270.844535,282.168312,310.9163104,307.279516,345.413217,348.875972,5
"read_rds(path = here(""proc"", ""df4_write_rds.rds""))",1408.03774,1427.203351,1478.26071,1429.552264,1560.90581,1565.604385,5
"readRDS(file = here(""proc"", ""df4_saveRDS.rds""))",1986.557628,1994.819523,2052.6020478,1996.313615,2044.384905,2240.934568,5
"qread(file = here(""proc"", ""df4_qsave.qs""))",1212.218382,1245.735249,1316.9907518,1275.51824,1323.7134,1527.768488,5
"read.fst(path = here(""proc"", ""df4_writefst.fst""))",563.26252,621.58996,681.517504,643.862306,700.697374,878.17536,5
"read_rds(path = here(""proc"", ""df5_write_rds.rds""))",2269.852145,2271.8645,2315.312042,2294.332943,2319.548136,2420.962486,5
"readRDS(file = here(""proc"", ""df5_saveRDS.rds""))",2894.176972,2918.95527,2967.7573492,2932.288543,2977.352126,3116.013835,5
"qread(file = here(""proc"", ""df5_qsave.qs""))",1860.687118,1911.744403,1974.5833406,1925.185802,2076.913125,2098.386255,5
"read.fst(path = here(""proc"", ""df5_writefst.fst""))",854.647935,953.386739,939.9943204,953.982913,962.213162,975.740853,5
"read_rds(path = here(""proc"", ""df6_write_rds.rds""))",3050.109449,3051.643491,3122.8922578,3067.396765,3077.157986,3368.153598,5
"readRDS(file = here(""proc"", ""df6_saveRDS.rds""))",3887.850138,3944.032559,3964.5807661999997,3946.58805,3969.32017,4075.112914,5
"qread(file = here(""proc"", ""df6_qsave.qs""))",2529.104901,2589.482042,2622.3527762,2607.575183,2687.911121,2697.690634,5
"read.fst(path = here(""proc"", ""df6_writefst.fst""))",1199.276086,1199.925409,1270.7107862,1247.91832,1259.465657,1446.968459,5
"read_rds(path = here(""proc"", ""df7_write_rds.rds""))",3758.814777,3773.546912,3822.3343038,3774.147596,3787.508975,4017.653259,5
"readRDS(file = here(""proc"", ""df7_saveRDS.rds""))",4799.451357,4849.098169,4900.7810592,4852.493971,4998.677304,5004.184495,5
"qread(file = here(""proc"", ""df7_qsave.qs""))",3135.6054,3225.869982,3289.9389006,3294.329326,3316.382432,3477.507363,5
"read.fst(path = here(""proc"", ""df7_writefst.fst""))",1399.934684,1419.316918,1502.0330602,1513.812131,1549.95919,1627.142378,5
"read_rds(path = here(""proc"", ""df8_write_rds.rds""))",7561.739621,7615.179901,7770.0441404,7822.086252,7884.288306,7966.926622,5
"readRDS(file = here(""proc"", ""df8_saveRDS.rds""))",9812.246754,9841.355037,9948.111964,9902.398634,10069.372966,10115.186429,5
"qread(file = here(""proc"", ""df8_qsave.qs""))",6484.893298,6676.549946,6698.1398446,6749.339995,6765.525926,6814.390058,5
"read.fst(path = here(""proc"", ""df8_writefst.fst""))",2947.610265,2979.881183,3010.532784,2996.206194,3031.396941,3097.569337,5
"read_rds(path = here(""proc"", ""df9_write_rds.rds""))",14937.612935,15769.86105,15760.4211992,15794.610826,15867.140044,16432.881141,5
"readRDS(file = here(""proc"", ""df9_saveRDS.rds""))",18868.857367,19200.773104,19339.4512986,19398.953418,19503.815425,19724.857179,5
"qread(file = here(""proc"", ""df9_qsave.qs""))",12604.18921,12744.861111,12850.2674532,12918.559071,12930.278654,13053.44922,5
"read.fst(path = here(""proc"", ""df9_writefst.fst""))",5421.013016,5647.112874,5873.635728,5727.995493,6263.005708,6309.051549,5
